iter	Passed	Remaining
771	1426	421
772	1427	419
773	1428	417
774	1429	415
775	1430	412
776	1431	410
777	1432	408
778	1432	406
779	1433	404
780	1434	402
781	1435	400
782	1439	398
783	1440	396
784	1440	394
785	1441	392
786	1442	390
787	1443	388
788	1444	386
789	1445	384
790	1446	382
791	1447	380
792	1448	377
793	1448	375
794	1449	373
795	1450	371
796	1453	370
797	1455	368
798	1456	366
799	1457	364
800	1458	362
801	1459	360
802	1460	358
803	1460	356
804	1461	354
805	1463	352
806	1464	350
807	1465	348
808	1465	346
809	1471	345
810	1472	343
811	1473	341
812	1474	339
813	1475	337
814	1476	335
815	1477	333
816	1478	331
817	1479	329
818	1480	327
819	1481	325
820	1485	323
821	1486	321
822	1487	319
823	1488	317
824	1489	316
825	1490	314
826	1491	312
827	1492	310
828	1493	308
829	1494	306
830	1494	303
831	1495	301
832	1496	299
833	1499	298
834	1500	296
835	1501	294
836	1502	292
837	1503	290
838	1504	288
839	1505	286
840	1506	284
841	1506	282
842	1507	280
843	1508	278
844	1509	276
845	1509	274
846	1510	272
847	1511	270
848	1513	269
849	1515	267
850	1516	265
851	1517	263
852	1518	261
853	1519	259
854	1520	257
855	1521	255
856	1522	253
857	1523	252
858	1523	250
859	1524	248
860	1525	246
861	1526	244
862	1526	242
863	1531	240
864	1531	239
865	1532	237
866	1533	235
867	1534	233
868	1535	231
869	1536	229
870	1537	227
871	1537	225
872	1538	223
873	1539	221
874	1540	220
875	1541	218
876	1561	219
877	1563	217
878	1564	215
879	1564	213
880	1566	211
881	1567	209
882	1568	207
883	1568	205
884	1569	203
885	1570	202
886	1571	200
887	1571	198
888	1572	196
889	1573	194
890	1578	193
891	1580	191
892	1583	189
893	1584	187
894	1585	185
895	1586	184
896	1587	182
897	1588	180
898	1588	178
899	1589	176
900	1592	175
901	1594	173
902	1595	171
903	1596	169
904	1597	167
905	1597	165
906	1598	163
907	1599	162
908	1602	160
909	1603	158
910	1604	156
911	1605	154
912	1606	153
913	1607	151
914	1608	149
915	1609	147
916	1610	145
917	1610	143
918	1611	142
919	1612	140
920	1613	138
921	1613	136
922	1617	134
923	1618	133
924	1619	131
925	1620	129
926	1621	127
927	1622	125
928	1623	124
929	1624	122
930	1625	120
931	1625	118
932	1626	116
933	1627	115
934	1628	113
935	1629	111
936	1632	109
937	1633	107
938	1634	106
939	1635	104
940	1636	102
941	1637	100
942	1638	99
943	1639	97
944	1640	95
945	1640	93
946	1641	91
947	1642	90
948	1643	88
949	1644	86
950	1645	84
951	1648	83
952	1649	81
953	1650	79
954	1651	77
955	1652	76
956	1653	74
957	1654	72
958	1655	70
959	1655	68
960	1656	67
961	1657	65
962	1658	63
963	1659	61
964	1659	60
965	1662	58
966	1664	56
967	1665	55
968	1666	53
969	1667	51
970	1668	49
971	1669	48
972	1670	46
973	1671	44
974	1672	42
975	1672	41
976	1673	39
977	1674	37
978	1675	35
979	1677	34
980	1678	32
981	1679	30
982	1680	29
983	1681	27
984	1682	25
985	1683	23
986	1684	22
987	1685	20
988	1686	18
989	1686	17
990	1687	15
991	1688	13
992	1690	11
993	1692	10
994	1693	8
995	1694	6
996	1695	5
997	1695	3
998	1696	1
999	1697	0
